22
0.000000 16384 0.000000
0.000000 0 0.000000
0.166813 16256 1.000000
0.312864 16128 2.000000
0.457935 16000 3.000000
0.574506 15872 4.000000
0.694688 77986 5.039668
0.786386 46604 6.055031
0.868396 76480 7.056676
0.908096 75848 8.049650
0.931165 75218 9.000208
0.938369 74356 10.020104
0.935769 44694 11.030161
0.946255 101654 12.047255
0.945742 100780 13.021921
0.949762 71838 13.986176
0.971621 70774 15.013503
0.978417 42784 16.020759
0.987918 150672 17.021451
0.986367 95772 18.023675
0.988857 68478 19.000311
0.992515 121052 20.011579
