22
0.000000 16384 0.000000
0.000000 0 0.000000
0.064351 16256 1.000000
0.097213 16128 2.000000
0.142239 16000 3.000000
0.192871 15872 4.000000
0.271075 77986 5.039668
0.331280 46604 6.055031
0.419178 76480 7.056676
0.487400 75848 8.049650
0.555137 75218 9.000208
0.629202 74356 10.020104
0.684402 44694 11.030161
0.756818 101654 12.047255
0.799908 100780 13.021921
0.836572 71838 13.986176
0.884072 70774 15.013503
0.899342 42784 16.020759
0.950433 150672 17.021451
0.951418 95772 18.023675
0.959536 68478 19.000311
0.978003 121052 20.011579
