22
0.000000 16384 0.000000
0.000000 0 0.000000
0.200300 16256 1.000000
0.365120 16128 2.000000
0.529509 16000 3.000000
0.654060 15872 4.000000
0.782697 77986 5.039668
0.876327 46604 6.055031
0.957543 76480 7.056676
0.988194 75848 8.049650
0.997587 75218 9.000208
0.989123 74356 10.020104
0.962358 44694 11.030161
0.972677 101654 12.047255
0.958494 100780 13.021921
0.950620 71838 13.986176
0.961572 70774 15.013503
0.958285 42784 16.020759
0.957581 150672 17.021451
0.958963 95772 18.023675
0.975432 68478 19.000311
0.977758 121052 20.011579
