0.000	0.00000	0.00000	0.00000	0.00000
0.000	0.00000	0.000000	0.000000	0.000000
1.000	0.01572	0.000000	0.000000	0.000000
2.000	0.05815	0.200300	0.023309	0.023309
3.000	0.12448	0.365120	0.064932	0.064932
4.000	0.21022	0.529509	0.129630	0.129630
5.040	0.31335	0.654060	0.212509	0.212509
6.055	0.42264	0.782697	0.314774	0.314774
7.057	0.52698	0.876327	0.421195	0.421195
8.050	0.62977	0.957543	0.525342	0.525342
9.000	0.71928	0.988194	0.626902	0.626902
10.020	0.80049	0.997587	0.716896	0.716896
11.030	0.87714	0.989123	0.798256	0.798256
12.047	0.92069	0.962358	0.875767	0.875767
13.022	0.96140	0.972677	0.920918	0.920918
13.986	0.99448	0.958494	0.962759	0.962759
15.014	1.00659	0.950620	0.996511	0.996511
16.021	1.02703	0.961572	1.008969	1.008969
17.021	1.01276	0.958285	1.029164	1.029164
18.024	1.01592	0.957581	1.015499	1.015499
19.000	1.01827	0.958963	1.018437	1.018437
20.012	1.00249	0.975432	1.019846	1.019846
